emotion,essay,Unnamed: 2
disgust,ward epileptic patient burnt whole body stinking much whole ward affected people could come near,
shame,outpatient asked read certain prescription unable patient dissappointed lost hope,
guilt,years ago mother found stealing relish pot fresh fish appetising,
joy,december last year chosen come institution study medical assistant,
fear,march busy studying night could sleep two three hours fear would weeded sent back,
anger,caught letter girlfriends handbag certain man felt anger,
sadness,nominated officer cadet armed forces name cancelled list nominees sent kenya training,
disgust,time went see one girlfriends area found room sleeping room women visitors children room smelling badly faeces urine didnt stay longer,
shame,last week sunday walking girlfriend along kawale road going town tried stop car lift driver didnt stop felt shame people looking us,
guilt,called court zemba traditional court answer charge impregnanting young lady felt guilty letters used write exhibit court,
joy,joy heard take course medical assistant,
fear,saw dead body mortuary became afraid filled fear,
anger,certain area party secretary came home morning said leave home build somewhere reason wanted establish market chairman knew nothing angry,
sadness,sad heard uncle passed away man supporting parents well,
disgust,disgusted girlfriends behaviour going boys also friends,
shame,shameful moment heard failed primary school leaving certificate exam girlfriend news released,
guilt,took pharmacology books friends desk without permission found guilty,
joy,form secondary school elected school library assistant also leader catholic students felt joyous,
fear,broke uncles radio player accidentally feared going cut going house well playing,
